district_code,district_name,total_population,personnel,personnel_per_1000
16052,"Gera, kreisfreie Stadt",95608.0,987.0,10.32
16053,"Jena, kreisfreie Stadt",109725.0,971.0,8.85
16054,"Suhl, kreisfreie Stadt",34685.0,397.0,11.45
16055,"Weimar, kreisfreie Stadt",65954.0,877.0,13.3
16056,"Eisenach, kreisfreie Stadt (bis 30.06.2021)",0.0,,
16061,"Eichsfeld, Landkreis",103694.0,1106.0,10.67
16062,"Nordhausen, Landkreis",80762.0,1478.0,18.3
16063,Wartburgkreis,154957.0,1711.0,11.04
16064,Unstrut-Hainich-Kreis,94613.0,1384.0,14.63
16065,Kyffhäuserkreis,71738.0,905.0,12.62
16066,"Schmalkalden-Meiningen, Landkreis",120214.0,1283.0,10.67
16067,"Gotha, Landkreis",135838.0,1237.0,9.11
16068,"Sömmerda, Landkreis",67693.0,560.0,8.27
16069,"Hildburghausen, Landkreis",59987.0,719.0,11.99
16070,Ilm-Kreis,106657.0,998.0,9.36
16071,"Weimarer Land, Landkreis",82392.0,788.0,9.56
16072,"Sonneberg, Landkreis",54964.0,554.0,10.08
16073,"Saalfeld-Rudolstadt, Landkreis",100105.0,1086.0,10.85
16074,Saale-Holzland-Kreis,83342.0,680.0,8.16
16075,Saale-Orla-Kreis,77341.0,617.0,7.98
16076,"Greiz, Landkreis",93707.0,1092.0,11.65
16077,"Altenburger Land, Landkreis",87508.0,960.0,10.97
