district_code,district_name,total_population,age_0_20_pct,age_20_55_pct,age_55_75_pct,age_75_plus_pct
09671,"Aschaffenburg, Landkreis",170945.0,18.56,40.31,30.08,11.06
09672,"Bad Kissingen, Landkreis",103489.0,17.88,38.52,30.9,12.71
09673,"Rhön-Grabfeld, Landkreis",79375.0,18.78,39.56,30.73,10.94
09674,"Haßberge, Landkreis",83869.0,18.82,40.34,30.68,10.16
09675,"Kitzingen, Landkreis",91287.0,19.16,41.96,28.8,10.07
09676,"Miltenberg, Landkreis",127547.0,18.88,40.79,29.67,10.67
09677,"Main-Spessart, Landkreis",125282.0,17.84,39.39,31.15,11.62
09678,"Schweinfurt, Landkreis",113977.0,19.04,39.94,30.1,10.92
09679,"Würzburg, Landkreis",162216.0,19.38,40.65,29.23,10.74
09761,"Augsburg, kreisfreie Stadt",301105.0,17.79,49.48,22.68,10.05
09762,"Kaufbeuren, kreisfreie Stadt",46193.0,19.48,42.39,26.56,11.57
09763,"Kempten (Allgäu), kreisfreie Stadt",67645.0,18.26,45.84,24.12,11.78
09764,"Memmingen, kreisfreie Stadt",44192.0,19.42,43.41,25.87,11.3
09771,"Aichach-Friedberg, Landkreis",136803.0,20.44,41.66,27.51,10.39
09772,"Augsburg, Landkreis",262811.0,20.3,41.81,27.27,10.62
09773,"Dillingen an der Donau, Landkreis",98899.0,19.85,41.93,28.11,10.11
09774,"Günzburg, Landkreis",129846.0,19.81,43.28,27.33,9.57
09775,"Neu-Ulm, Landkreis",183595.0,19.47,44.66,25.59,10.29
09776,"Lindau (Bodensee), Landkreis",82411.0,18.67,40.91,28.25,12.17
09777,"Ostallgäu, Landkreis",142047.0,19.95,41.28,27.84,10.93
09778,"Unterallgäu, Landkreis",147255.0,19.93,42.18,27.12,10.77
09779,"Donau-Ries, Landkreis",135098.0,19.51,42.83,27.58,10.08
09780,"Oberallgäu, Landkreis",155413.0,18.92,40.38,28.63,12.07
10041,"Regionalverband Saarbrücken, Landkreis",333149.0,17.61,43.0,28.09,11.3
10042,"Merzig-Wadern, Landkreis",108779.0,17.24,40.65,31.22,10.9
10043,"Neunkirchen, Landkreis",133179.0,17.41,39.74,31.09,11.77
10044,"Saarlouis, Landkreis",205129.0,17.22,39.9,31.15,11.74
10045,Saarpfalz-Kreis,144092.0,16.79,39.22,31.49,12.51
10046,"Sankt Wendel, Landkreis",87813.0,16.38,38.23,33.28,12.11
11000,"Berlin, kreisfreie Stadt",3685265.0,18.38,49.09,22.66,9.87
12051,"Brandenburg an der Havel, kreisfreie Stadt",74113.0,16.53,39.76,29.13,14.58
12052,"Cottbus, kreisfreie Stadt",95123.0,17.03,40.22,29.16,13.59
12053,"Frankfurt (Oder), kreisfreie Stadt",57107.0,16.33,39.8,30.37,13.5
12054,"Potsdam, kreisfreie Stadt",184754.0,19.42,46.78,23.34,10.47
12060,"Barnim, Landkreis",194169.0,18.43,38.8,30.88,11.88
12061,"Dahme-Spreewald, Landkreis",178793.0,18.4,39.55,30.17,11.89
12062,"Elbe-Elster, Landkreis",97967.0,16.22,34.58,35.2,14.0
12063,"Havelland, Landkreis",170834.0,18.81,39.31,30.73,11.15
12064,"Märkisch-Oderland, Landkreis",197817.0,18.33,37.25,32.72,11.7
12065,"Oberhavel, Landkreis",217690.0,18.17,38.86,31.29,11.68
12066,"Oberspreewald-Lausitz, Landkreis",107793.0,16.3,35.4,33.49,14.8
12067,"Oder-Spree, Landkreis",179817.0,17.32,36.71,32.64,13.33
12068,"Ostprignitz-Ruppin, Landkreis",99152.0,16.69,36.56,34.08,12.67
12069,"Potsdam-Mittelmark, Landkreis",221268.0,18.89,37.86,31.9,11.34
12070,"Prignitz, Landkreis",75595.0,15.92,35.51,34.65,13.92
12071,"Spree-Neiße, Landkreis",109635.0,16.19,33.42,36.45,13.94
