latitude,longitude
51.715187,-4.953535
51.716372,-5.055237
51.712674,-4.986859
51.712789,-5.032864
51.732123,-4.660437
51.799927,-4.743733
51.799719,-4.739825
52.03558,-4.462546
52.037065,-4.469767
52.037483,-4.468713
51.693264,-4.941119
51.693899,-4.929234
51.694019,-4.944091
51.692409,-4.948249
51.710502,-4.699147
51.672571,-4.701392
51.670173,-4.699085
51.671192,-4.696698
51.672124,-4.701123
51.671241,-4.699535
52.336774,-3.851375
51.825167,-3.093541
51.81725,-3.013075
51.821845,-3.018999
51.821579,-3.020231
51.821758,-3.017833
51.823068,-3.017106
51.82294,-3.025327
51.727925,-3.134167
51.731234,-3.134244
51.744931,-3.132267
51.67274,-3.184504
51.656814,-3.179361
51.662433,-3.199821
51.6662,-3.195496
51.653171,-3.196295
51.669672,-3.223385
51.67774,-3.182638
51.770545,-3.072175
51.766309,-3.159925
51.799343,-3.180587
51.798437,-3.173063
51.79789,-3.170349
51.798021,-3.179817
51.797838,-3.175764
51.797756,-3.175373
51.797691,-3.174324
51.642875,-2.674332
51.699753,-2.683496
51.642821,-2.673202
51.6269,-2.671364
51.641206,-2.676501
51.644475,-3.046581
51.638394,-3.015234
51.663199,-3.009964
51.743466,-3.182516
51.796467,-3.237624
51.799472,-3.193448
51.809231,-2.719848
51.808503,-2.720966
51.812793,-2.714089
51.813203,-2.710423
51.809492,-2.71932
51.827151,-2.712381
51.726091,-3.254638
51.722569,-3.243882
51.607487,-2.897465
51.586403,-2.998806
51.58917,-2.996749
51.590139,-2.979818
51.590912,-2.985936
51.575728,-2.989531
51.590949,-2.989008
51.566055,-3.017758
51.608003,-3.098913
51.578924,-3.061023
51.610828,-2.996419
51.579913,-2.831409
51.589081,-2.997352
51.594178,-2.75568
51.587814,-2.997524
52.016274,-4.832385
51.594168,-2.945015
51.578436,-2.952224
51.605654,-3.090777
51.589372,-2.755218
51.60301,-3.091861
51.592342,-2.980422
51.595427,-2.99693
51.588103,-2.932995
51.58732,-2.997052
51.581613,-2.991599
51.587784,-2.99497
51.609282,-3.098898
51.582251,-2.992835
51.57565,-2.950794
51.585406,-2.996751
51.611424,-2.95367
51.590862,-2.997148
52.016009,-4.834333
51.575959,-2.99063
51.576425,-3.053653
51.575222,-2.985303
51.584708,-2.993803
51.588091,-2.995287
51.702763,-3.041297
51.72166,-2.981042
51.737125,-3.069705
51.699549,-3.038648
51.699444,-3.043363
51.704412,-3.011613
51.700673,-3.048817
51.710989,-3.052544
51.713297,-3.054856
51.688735,-3.008353
51.704158,-3.043153
51.753388,-3.280403
51.76095,-3.285786
51.771348,-3.245006
51.774017,-3.299304
51.787521,-3.246148
53.412206,-4.334715
53.411872,-4.334776
53.409157,-4.345039
53.409458,-4.344947
53.226243,-4.129102
53.227881,-4.134673
53.180104,-4.062653
53.180549,-4.063514
53.231205,-4.119146
53.231913,-4.117298
53.229178,-4.120725
53.236145,-4.122131
53.263396,-4.092624
52.994001,-3.933432
53.193201,-4.387348
53.140138,-4.275569
53.139823,-4.27616
53.081465,-4.331598
53.14106,-4.270304
53.164975,-4.203265
53.14036,-4.275559
53.281323,-3.827759
53.280623,-3.827168
53.284897,-3.842918
52.742288,-3.884401
53.221741,-4.266069
53.312531,-4.632877
53.306388,-4.629409
53.307188,-4.62998
53.268758,-4.474466
53.309321,-4.633328
53.311313,-4.633076
53.312169,-4.633178
53.322296,-3.829523
53.324721,-3.832069
53.322844,-3.830763
53.326362,-3.832372
53.317441,-3.779425
53.326615,-3.832439
53.283141,-3.803946
53.252084,-3.974245
53.333125,-4.251097
53.225832,-4.162707
53.232081,-4.180136
53.225055,-4.161836
52.928245,-4.132412
52.902139,-4.064657
52.587289,-4.086329
51.713669,-3.443549
51.714333,-3.446981
51.695105,-3.430523
51.720661,-3.446402
51.715051,-3.450441
51.715163,-3.450961
51.73789,-3.510941
51.717395,-3.453055
51.506849,-3.581439
51.524073,-3.500499
51.501497,-3.57437
51.540321,-3.597054
51.596347,-3.540617
51.519334,-3.700922
51.457528,-3.589901
51.53148,-3.657138
51.598733,-3.541131
51.539948,-3.596466
51.504096,-3.561026
51.507862,-3.576595
51.547982,-3.596421
51.505577,-3.623986
51.560249,-3.601258
51.524956,-3.594955
51.501797,-3.537662
51.534437,-3.677506
51.524273,-3.574553
51.508455,-3.577022
51.543461,-3.570644
51.53626,-3.67518
51.610942,-3.584024
51.531507,-3.65364
51.50551,-3.578473
51.503356,-3.576506
51.508085,-3.593181
51.536552,-3.654402
51.613727,-3.542881
51.574687,-3.220152
51.588111,-3.209718
51.584109,-3.219723
51.592402,-3.291027
51.653355,-3.43404
51.632535,-3.235715
51.669477,-3.242813
51.607579,-3.658647
51.606022,-3.651251
51.608588,-3.660183
51.6166,-3.662678
51.60844,-3.659911
51.604853,-3.643214
51.746282,-3.378483
51.759591,-3.35751
51.764367,-3.356433
51.764949,-3.356714
51.724547,-3.366829
51.752574,-3.385486
51.762375,-3.40526
51.71298,-3.352065
51.745196,-3.360486
51.752103,-3.384545
51.759788,-3.362469
51.749306,-3.381908
51.774336,-3.361301
51.772611,-3.358152
51.723062,-3.363978
51.74553,-3.401617
51.762046,-3.352144
51.765625,-3.350256
51.746603,-3.378773
51.678715,-3.373746
51.684736,-3.378392
51.679906,-3.37056
51.684809,-3.378596
51.681589,-3.38057
51.64486,-3.466062
51.523913,-3.391076
51.53306,-3.451292
51.523701,-3.390537
51.538234,-3.385009
51.538544,-3.439006
51.518282,-3.398675
51.518647,-3.375796
51.536751,-3.386251
51.611941,-3.325705
51.551595,-3.318428
51.605424,-3.35409
51.570428,-3.326301
51.594335,-3.327192
51.595561,-3.327119
51.599752,-3.341058
51.604584,-3.336346
51.604664,-3.337976
51.607145,-3.33384
51.591387,-3.324292
51.594852,-3.325873
51.597767,-3.343246
51.611012,-3.326079
51.609973,-3.383585
51.583971,-3.430052
51.583885,-3.434119
51.600178,-3.422212
51.484123,-3.678208
51.489859,-3.702075
51.476114,-3.702667
51.480594,-3.701462
51.480839,-3.702623
51.627579,-3.452088
