district_code,district_name,total_population,age_0_20_pct,age_21_40_pct,age_41_60_pct,age_61_75_pct,age_75_plus_pct
08236,Enzkreis,199745.0,19.85,22.42,26.8,19.89,11.03
08237,"Freudenstadt, Landkreis",121958.0,19.29,23.63,26.6,20.11,10.37
08311,"Freiburg im Breisgau, kreisfreie Stadt",237460.0,18.15,34.86,23.18,15.18,8.63
08315,"Breisgau-Hochschwarzwald, Landkreis",272558.0,19.77,22.58,26.29,19.99,11.37
08316,"Emmendingen, Landkreis",169787.0,19.71,22.86,26.7,20.07,10.65
08317,Ortenaukreis,444858.0,19.64,23.56,26.35,20.02,10.44
08325,"Rottweil, Landkreis",140237.0,20.32,22.87,26.3,19.8,10.71
08326,Schwarzwald-Baar-Kreis,214065.0,19.71,23.76,25.47,19.62,11.43
08327,"Tuttlingen, Landkreis",145208.0,21.26,24.41,26.14,18.47,9.72
08335,"Konstanz, Landkreis",291841.0,18.81,25.87,25.43,18.8,11.1
08336,"Lörrach, Landkreis",238263.0,20.11,23.32,26.76,19.41,10.4
08337,"Waldshut, Landkreis",171579.0,20.25,22.62,26.24,20.26,10.63
08415,"Reutlingen, Landkreis",293483.0,19.76,23.86,26.7,19.02,10.66
08416,"Tübingen, Landkreis",233546.0,19.28,29.93,24.25,17.56,8.98
08417,Zollernalbkreis,193326.0,19.17,22.92,26.32,20.56,11.03
08421,"Ulm, kreisfreie Stadt",129882.0,18.43,31.17,25.04,15.36,10.0
08425,Alb-Donau-Kreis,202354.0,20.76,23.91,26.94,18.69,9.69
08426,"Biberach, Landkreis",207415.0,20.9,24.21,26.94,18.57,9.37
08435,Bodenseekreis,220804.0,18.99,22.28,26.5,19.75,12.48
08436,"Ravensburg, Landkreis",291102.0,19.9,24.65,26.37,18.73,10.34
08437,"Sigmaringen, Landkreis",132167.0,19.55,23.46,26.21,20.45,10.34
09161,"Ingolstadt, kreisfreie Stadt",141185.0,19.65,29.08,26.52,15.78,8.98
09162,"München, kreisfreie Stadt",1505005.0,17.69,32.86,26.7,13.56,9.18
09163,"Rosenheim, kreisfreie Stadt",65274.0,18.52,28.61,26.11,16.18,10.57
09171,"Altötting, Landkreis",113938.0,19.58,23.1,26.48,19.8,11.04
