district_code,district_name,total_population,available_beds,beds_per_1000
07313,"Landau in der Pfalz, kreisfreie Stadt",48209.0,535.0,11.1
07314,"Ludwigshafen am Rhein, kreisfreie Stadt",177222.0,1602.0,9.04
07315,"Mainz, kreisfreie Stadt",224684.0,1840.0,8.19
07316,"Neustadt an der Weinstraße, kreisfreie Stadt",52945.0,550.0,10.39
07317,"Pirmasens, kreisfreie Stadt",39761.0,727.0,18.28
07318,"Speyer, kreisfreie Stadt",49564.0,875.0,17.65
07319,"Worms, kreisfreie Stadt",86753.0,1065.0,12.28
07320,"Zweibrücken, kreisfreie Stadt",33323.0,389.0,11.67
07331,"Alzey-Worms, Landkreis",131238.0,1196.0,9.11
07332,"Bad Dürkheim, Landkreis",134329.0,1651.0,12.29
07333,Donnersbergkreis,74783.0,1033.0,13.81
07334,"Germersheim, Landkreis",131383.0,1056.0,8.04
07335,"Kaiserslautern, Landkreis",106343.0,1166.0,10.96
07336,"Kusel, Landkreis",69334.0,851.0,12.27
07337,"Südliche Weinstraße, Landkreis",113031.0,855.0,7.56
07338,Rhein-Pfalz-Kreis,155882.0,1460.0,9.37
07339,"Mainz-Bingen, Landkreis",206454.0,2165.0,10.49
07340,"Südwestpfalz, Landkreis",89974.0,832.0,9.25
08111,"Stuttgart, kreisfreie Stadt",612663.0,5102.0,8.33
08115,"Böblingen, Landkreis",395167.0,3154.0,7.98
08116,"Esslingen, Landkreis",536601.0,4622.0,8.61
08117,"Göppingen, Landkreis",258809.0,2927.0,11.31
08118,"Ludwigsburg, Landkreis",535374.0,4725.0,8.83
08119,Rems-Murr-Kreis,440696.0,4003.0,9.08
08121,"Heilbronn, kreisfreie Stadt",131986.0,1633.0,12.37
08125,"Heilbronn, Landkreis",353877.0,3315.0,9.37
08126,Hohenlohekreis,115644.0,1183.0,10.23
08127,"Schwäbisch Hall, Landkreis",200902.0,2038.0,10.14
08128,Main-Tauber-Kreis,133169.0,1956.0,14.69
08135,"Heidenheim, Landkreis",135235.0,1442.0,10.66
08136,Ostalbkreis,317427.0,3345.0,10.54
08211,"Baden-Baden, kreisfreie Stadt",56881.0,791.0,13.91
08212,"Karlsruhe, kreisfreie Stadt",309050.0,2733.0,8.84
08215,"Karlsruhe, Landkreis",456264.0,4923.0,10.79
08216,"Rastatt, Landkreis",230737.0,2254.0,9.77
08221,"Heidelberg, kreisfreie Stadt",155756.0,1350.0,8.67
08222,"Mannheim, kreisfreie Stadt",318035.0,3134.0,9.85
08225,Neckar-Odenwald-Kreis,145263.0,2261.0,15.56
08226,Rhein-Neckar-Kreis,558561.0,5073.0,9.08
08231,"Pforzheim, kreisfreie Stadt",134912.0,1679.0,12.45
08235,"Calw, Landkreis",161251.0,2225.0,13.8
08236,Enzkreis,199745.0,2365.0,11.84
08237,"Freudenstadt, Landkreis",121958.0,1521.0,12.47
08311,"Freiburg im Breisgau, kreisfreie Stadt",237460.0,2142.0,9.02
08315,"Breisgau-Hochschwarzwald, Landkreis",272558.0,2593.0,9.51
08316,"Emmendingen, Landkreis",169787.0,1644.0,9.68
08317,Ortenaukreis,444858.0,5551.0,12.48
08325,"Rottweil, Landkreis",140237.0,1630.0,11.62
08326,Schwarzwald-Baar-Kreis,214065.0,2522.0,11.78
