district_code,district_name,hospital_drive
07338,Rhein-Pfalz-Kreis,10.5291055045872
07339,"Mainz-Bingen, Landkreis",13.4172469252602
07340,"Südwestpfalz, Landkreis",14.9459551098376
08111,"Stuttgart, kreisfreie Stadt",8.95801814708691
08115,"Böblingen, Landkreis",10.3492892436336
08116,"Esslingen, Landkreis",11.3149459613197
08117,"Göppingen, Landkreis",13.2605906853465
08118,"Ludwigsburg, Landkreis",10.3357587232892
08119,Rems-Murr-Kreis,16.072843355605
08121,"Heilbronn, kreisfreie Stadt",8.84284603421462
08125,"Heilbronn, Landkreis",16.7262273838631
08126,Hohenlohekreis,17.8471083297367
08127,"Schwäbisch Hall, Landkreis",17.0120921743098
08128,Main-Tauber-Kreis,15.9712110311751
08135,"Heidenheim, Landkreis",15.0272790845518
08136,Ostalbkreis,14.4911192696964
08211,"Baden-Baden, kreisfreie Stadt",10.6128571428571
08212,"Karlsruhe, kreisfreie Stadt",8.52545101088647
08215,"Karlsruhe, Landkreis",12.6870890322581
08216,"Rastatt, Landkreis",13.8921914357683
08221,"Heidelberg, kreisfreie Stadt",7.08491228070175
08222,"Mannheim, kreisfreie Stadt",9.4469364664926
08225,Neckar-Odenwald-Kreis,13.1267285298399
08226,Rhein-Neckar-Kreis,11.2274062705547
08231,"Pforzheim, kreisfreie Stadt",7.91701587301587
08235,"Calw, Landkreis",12.7238739462063
08236,Enzkreis,11.6040723774622
08237,"Freudenstadt, Landkreis",17.5646540880503
08311,"Freiburg im Breisgau, kreisfreie Stadt",7.75566101694915
08315,"Breisgau-Hochschwarzwald, Landkreis",19.8002177452177
08316,"Emmendingen, Landkreis",16.929774690199
08317,Ortenaukreis,16.9735482187133
08325,"Rottweil, Landkreis",16.3260547132498
08326,Schwarzwald-Baar-Kreis,18.9220437386097
08327,"Tuttlingen, Landkreis",13.7734768568353
08335,"Konstanz, Landkreis",11.3174919923126
08336,"Lörrach, Landkreis",14.0415802382621
08337,"Waldshut, Landkreis",18.4476491812379
08415,"Reutlingen, Landkreis",13.5263154293534
08416,"Tübingen, Landkreis",15.3885888945492
08417,Zollernalbkreis,13.1189928315412
08421,"Ulm, kreisfreie Stadt",7.94286944045911
08425,Alb-Donau-Kreis,16.3197110552764
08426,"Biberach, Landkreis",12.64497799511
08435,Bodenseekreis,12.1279891156463
08436,"Ravensburg, Landkreis",14.2297670632436
08437,"Sigmaringen, Landkreis",12.9086375488918
09161,"Ingolstadt, kreisfreie Stadt",12.0339691943128
09162,"München, kreisfreie Stadt",7.39161780673181
09163,"Rosenheim, kreisfreie Stadt",6.74748717948718
09171,"Altötting, Landkreis",14.3572249494658
09172,"Berchtesgadener Land, Landkreis",12.0993425488874
09173,"Bad Tölz-Wolfratshausen, Landkreis",11.0608702175544
09174,"Dachau, Landkreis",11.0556829896907
09175,"Ebersberg, Landkreis",14.9227876106195
09176,"Eichstätt, Landkreis",16.4469521988528
09177,"Erding, Landkreis",17.0275476522548
09178,"Freising, Landkreis",16.023
09179,"Fürstenfeldbruck, Landkreis",12.6014203954214
09180,"Garmisch-Partenkirchen, Landkreis",13.4675381552754
09181,"Landsberg am Lech, Landkreis",16.5359520578924
09182,"Miesbach, Landkreis",16.4726405274115
09183,"Mühldorf am Inn, Landkreis",15.1410199168308
09184,"München, Landkreis",15.0761797337278
09185,"Neuburg-Schrobenhausen, Landkreis",11.5709901835254
09186,"Pfaffenhofen an der Ilm, Landkreis",14.417388829598
09187,"Rosenheim, Landkreis",12.0365493741307
09188,"Starnberg, Landkreis",9.96998964803313
09189,"Traunstein, Landkreis",15.545015537601
09190,"Weilheim-Schongau, Landkreis",13.7283772626231
09261,"Landshut, kreisfreie Stadt",7.25641304347826
09262,"Passau, kreisfreie Stadt",9.9073399715505
09263,"Straubing, kreisfreie Stadt",15.4351507537688
09271,"Deggendorf, Landkreis",14.2157531630461
09272,"Freyung-Grafenau, Landkreis",16.9415079900968
09273,"Kelheim, Landkreis",14.2005142269455
09274,"Landshut, Landkreis",18.1267761738842
09275,"Passau, Landkreis",24.8383418128959
09276,"Regen, Landkreis",15.8885234240863
09277,"Rottal-Inn, Landkreis",16.9158899962155
09278,"Straubing-Bogen, Landkreis",16.6453028009084
09279,"Dingolfing-Landau, Landkreis",14.3612704174229
09361,"Amberg, kreisfreie Stadt",5.7309793814433
09362,"Regensburg, kreisfreie Stadt",7.21557220708447
09363,"Weiden in der Oberpfalz, kreisfreie Stadt",7.17949519230769
09371,"Amberg-Sulzbach, Landkreis",13.7025688916105
09372,"Cham, Landkreis",16.7198797250859
09373,"Neumarkt in der Oberpfalz, Landkreis",15.4555276532138
09374,"Neustadt an der Waldnaab, Landkreis",16.8030919825979
09375,"Regensburg, Landkreis",15.771101905551
09376,"Schwandorf, Landkreis",13.5879115536004
09377,"Tirschenreuth, Landkreis",12.955914893617
09461,"Bamberg, kreisfreie Stadt",9.69142857142857
09462,"Bayreuth, kreisfreie Stadt",7.55945614035088
09463,"Coburg, kreisfreie Stadt",7.19795454545455
09464,"Hof, kreisfreie Stadt",6.00647727272727
09471,"Bamberg, Landkreis",12.6974811354653
09472,"Bayreuth, Landkreis",16.0349986504723
09473,"Coburg, Landkreis",13.0749749861034
09474,"Forchheim, Landkreis",15.3449413808076
09475,"Hof, Landkreis",12.1546096189881
09476,"Kronach, Landkreis",16.2809625390219
09477,"Kulmbach, Landkreis",15.2163685882887
09478,"Lichtenfels, Landkreis",12.5226333113891
09479,"Wunsiedel im Fichtelgebirge, Landkreis",11.9723216995448
09561,"Ansbach, kreisfreie Stadt",10.0409129511677
09562,"Erlangen, kreisfreie Stadt",7.54099830795262
09563,"Fürth, kreisfreie Stadt",7.89723549488055
09564,"Nürnberg, kreisfreie Stadt",7.80061488673139
09565,"Schwabach, kreisfreie Stadt",7.4434011627907
09571,"Ansbach, Landkreis",16.7742328346759
